"","recipe_id","name","value","unit"
"0","1","Energie","1 393","1 393 kJ / 333 kcal"
"1","1","Bílkoviny","20,96","20,96 g"
"2","1"," – z toho živočišné bílkoviny","20,96","20,96 g"
"3","1"," – z toho rostlinné bílkoviny","0,00","0,00 g"
"4","1","Tuky","18,65","18,65 g"
"5","1"," – nasycené","7,22","7,22 g"
"6","1"," – nenasycené","7,74","7,74 g"
"7","1"," –– mononenasycené","6,20","6,20 g"
"8","1"," –– polynenasycené","1,54","1,54 g"
"9","1"," ––– omega 3","0,09","0,09 g"
"10","1","Vláknina","0,00","0,00 g"
"11","1","Cholesterol","450","
450 mg
	"
"12","1","Sodík","185","
185 mg
	"
"13","1","Sůl","0,47","0,47 g"
"14","1","Sacharidy","20,29","20,29 g"
"15","1"," – cukry","19,60","19,60 g"
"16","1"," ––– laktóza","19,60","19,60 g"
